plataforma,timestamp,zona,direccion,local,producto,descripcion_producto,precio_producto,precio_producto_original,descuento_producto,precio_envio,precio_envio_promo,tiempo_entrega,rating,horario_apertura,horario_cierre,disponible,error
"Uber Eats","2026-05-12T19:42:46.341Z","Centro - CDMX Coyoacán","Av. Miguel Ángel de Quevedo 687, Coyoacán, Ciudad de México, CDMX","Burger King (Copilco)","Whopper","Disfruta de un Combo de Whopper con queso con papas y refresco y gratis un Pay de Manzana o 4 Nuggets de Pollo","159","199","-20%","0","Costo de envío: MXN0 (usuarios nuevos)","10-10 min","4.3","09:00:00","23:54:00","true",
"Uber Eats","2026-05-12T19:43:01.630Z","Centro - CDMX Coyoacán","Av. Miguel Ángel de Quevedo 687, Coyoacán, Ciudad de México, CDMX","7 Eleven 🛒( CARRILLO PUERTO)","Coca-Cola 600 ml","Coca-Cola · Refresco light (600 ml)","25",,"unknown","0","Para ahorrar dinero en la entrega, puedes obtener una membresía Uber One, si está disponible en tu área, ya que una de las ventajas es que ofrece entrega a $0 por costo de envío en pedidos seleccionados.","10-10 min","5","07:00:00","06:59:00","true",
"Uber Eats","2026-05-12T19:43:32.831Z","Centro - Querétaro","Av. Constituyentes 40, Centro, Santiago de Querétaro, Querétaro","McDonalds Puerta la Victoria","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","0","Costo de envío: MXN0 (usuarios nuevos)","12-12 min","4.4","10:00:00","21:45:00","true",
"Uber Eats","2026-05-12T19:43:49.582Z","Centro - Querétaro","Av. Constituyentes 40, Centro, Santiago de Querétaro, Querétaro","Burger King (Querétaro Tec)","Whopper","Bueno, Bonito y Barato: Elige el tradicional Combo Whopper® con queso y pay de manzana o 4 Nuggets de pollo.","159","199","-20%","0","Costo de envío: MXN0 (usuarios nuevos)","10-10 min","4.4","09:00:00","01:45:00","true",
"Uber Eats","2026-05-12T19:44:02.739Z","Centro - Querétaro","Av. Constituyentes 40, Centro, Santiago de Querétaro, Querétaro","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para 7 Eleven"
"Uber Eats","2026-05-12T19:44:51.323Z","Centro - Puebla","Av. Juárez 2925, La Paz, Puebla, Puebla","unknown","Big Mac","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para McDonald's"
"Uber Eats","2026-05-12T19:45:24.285Z","Centro - Puebla","Av. Juárez 2925, La Paz, Puebla, Puebla","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para Burger King"
"Uber Eats","2026-05-12T19:45:57.379Z","Centro - Puebla","Av. Juárez 2925, La Paz, Puebla, Puebla","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para 7 Eleven"
"Uber Eats","2026-05-12T19:46:27.466Z","Este - Veracruz","Blvd. Manuel Ávila Camacho 1371, Ricardo Flores Magón, Veracruz, Veracruz","McDonald's Villa del Mar","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","114",,"unknown","0","Costo de envío: $0","10-10 min","4.6","12:00:00","21:45:00","true",
"Uber Eats","2026-05-12T19:46:41.784Z","Este - Veracruz","Blvd. Manuel Ávila Camacho 1371, Ricardo Flores Magón, Veracruz, Veracruz","Burger King (Plaza Portal Veracruz)","Whopper","Bueno, Bonito y Barato: Elige el tradicional Combo Whopper® con queso y pay de manzana o 4 Nuggets de pollo.","159","199","-20%","0","Costo de envío: $0","13-13 min","4.6","10:00:00","20:40:00","true",
"Uber Eats","2026-05-12T19:46:53.181Z","Este - Veracruz","Blvd. Manuel Ávila Camacho 1371, Ricardo Flores Magón, Veracruz, Veracruz","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para 7 Eleven"
"Uber Eats","2026-05-12T19:47:42.662Z","Este - Xalapa","Av. Lázaro Cárdenas 100, Xalapa-Enríquez, Veracruz","unknown","Big Mac","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para McDonald's"
"Uber Eats","2026-05-12T19:48:15.633Z","Este - Xalapa","Av. Lázaro Cárdenas 100, Xalapa-Enríquez, Veracruz","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para Burger King"
"Uber Eats","2026-05-12T19:48:48.526Z","Este - Xalapa","Av. Lázaro Cárdenas 100, Xalapa-Enríquez, Veracruz","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para 7 Eleven"
"Uber Eats","2026-05-12T19:49:36.859Z","Sur - Oaxaca","Calz. Porfirio Díaz 258, Reforma, Oaxaca de Juárez, Oaxaca","unknown","Big Mac","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para McDonald's"
"Uber Eats","2026-05-12T19:50:09.886Z","Sur - Oaxaca","Calz. Porfirio Díaz 258, Reforma, Oaxaca de Juárez, Oaxaca","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para Burger King"
"Uber Eats","2026-05-12T19:50:42.762Z","Sur - Oaxaca","Calz. Porfirio Díaz 258, Reforma, Oaxaca de Juárez, Oaxaca","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para 7 Eleven"
"Uber Eats","2026-05-12T19:51:14.617Z","Sur - Mérida","Paseo de Montejo 495, Centro, Mérida, Yucatán","McDonald's (Centro)","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","0","Costo de envío: MXN0 (usuarios nuevos)","13-13 min","4.5","12:00:00","21:45:00","true",
"Uber Eats","2026-05-12T19:51:30.202Z","Sur - Mérida","Paseo de Montejo 495, Centro, Mérida, Yucatán","Burger King (Centro Mérida)","Whopper","Bueno, Bonito y Barato: Elige el tradicional Combo Whopper® con queso y pay de manzana o 4 Nuggets de pollo.","159","199","-20%","0","Costo de envío: MXN0 (usuarios nuevos)","13-13 min","4.6","10:00:00","21:45:00","true",
"Uber Eats","2026-05-12T19:51:44.275Z","Sur - Mérida","Paseo de Montejo 495, Centro, Mérida, Yucatán","7 Eleven 🛒( ZOCALO)","Coca-Cola 600 ml","Coca-Cola · Refresco original (600 ml)","28.5",,"unknown","0","Para ahorrar dinero en la entrega, puedes obtener una membresía Uber One, si está disponible en tu área, ya que una de las ventajas es que ofrece entrega a $0 por costo de envío en pedidos seleccionados.","13-13 min","4.8","07:00:00","01:59:00","true",
"Uber Eats","2026-05-12T19:52:32.188Z","Sur - Cancún","Av. Tulum 260, Centro, Cancún, Quintana Roo","unknown","Big Mac","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para McDonald's"
"Uber Eats","2026-05-12T19:53:05.108Z","Sur - Cancún","Av. Tulum 260, Centro, Cancún, Quintana Roo","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para Burger King"
"Uber Eats","2026-05-12T19:53:38.088Z","Sur - Cancún","Av. Tulum 260, Centro, Cancún, Quintana Roo","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para 7 Eleven"
