plataforma,timestamp,zona,direccion,local,producto,descripcion_producto,precio_producto,precio_producto_original,descuento_producto,precio_envio,precio_envio_promo,tiempo_entrega,rating,horario_apertura,horario_cierre,disponible,error
"Rappi","2026-05-12T18:54:25.883Z","Oeste - León","Blvd. Adolfo López Mateos 2518, Jardines del Moral, León, Guanajuato","19637 Burger King León Altacia (ALS)","Whopper","Que la parrilla te acompañe con nuestra clásica Whopper ahora con salsa Pesto, tocino, queso amarillo y vegetales frescos. Cambia a Papas La Fuerza por $20 y domina tu antojo.","219","249","-12%","15","unknown","30 min","3.4","10:00:00","21:55:00","true",
"Rappi","2026-05-12T18:55:10.226Z","Oeste - León","Blvd. Adolfo López Mateos 2518, Jardines del Moral, León, Guanajuato","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint dynamic context para 7 Eleven"
"Rappi","2026-05-12T18:56:05.918Z","Centro - CDMX Polanco","Av. Presidente Masaryk 111, Polanco, Ciudad de México, CDMX","McDonald's  - Marina Nacional","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","0","Envío Gratis: Aplican TyC","14 min","3.8","00:00:00","04:45:00","true",
"Rappi","2026-05-12T18:56:30.222Z","Centro - CDMX Polanco","Av. Presidente Masaryk 111, Polanco, Ciudad de México, CDMX","15556 Burger King Antara (ALS)","Whopper","Que la parrilla te acompañe con nuestra clásica Whopper ahora con salsa Pesto, tocino, queso amarillo y vegetales frescos. Cambia a Papas La Fuerza por $20 y domina tu antojo.","219","249","-12%","0","Envío Gratis: Aplican TyC","24 min","3.6","11:00:00","21:55:00","true",
"Rappi","2026-05-12T18:57:00.205Z","Centro - CDMX Polanco","Av. Presidente Masaryk 111, Polanco, Ciudad de México, CDMX","7 Eleven","Coca-Cola 600 ml","Ideal para compartir con tu familia o amigos. Siente el sabor original e inconfundible de Coca-Cola, para acompañar tus comidas favoritas de una forma deliciosa y refrescante.
","25.3",,"unknown","15","unknown","14 min o prog.",,"unknown","unknown","true",
"Rappi","2026-05-12T18:57:53.909Z","Centro - CDMX Roma Norte","Av. Álvaro Obregón 286, Roma Norte, Ciudad de México, CDMX","McDonald's  - Sears Insurgentes","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","0","Envío Gratis: Aplican TyC","13 min","3.8","10:00:00","22:45:00","true",
"Rappi","2026-05-12T18:58:18.826Z","Centro - CDMX Roma Norte","Av. Álvaro Obregón 286, Roma Norte, Ciudad de México, CDMX","20579 Burger King Plaza Exhibimex (ALS)","Whopper","Que la parrilla te acompañe con nuestra clásica Whopper ahora con salsa Pesto, tocino, queso amarillo y vegetales frescos. Cambia a Papas La Fuerza por $20 y domina tu antojo.","219","249","-12%","0","Envío Gratis: Aplican TyC","40 min","3.9","10:30:00","20:55:00","true",
"Rappi","2026-05-12T18:58:48.995Z","Centro - CDMX Roma Norte","Av. Álvaro Obregón 286, Roma Norte, Ciudad de México, CDMX","7 Eleven","Coca-Cola 600 ml","Ideal para compartir con tu familia o amigos. Siente el sabor original e inconfundible de Coca-Cola, para acompañar tus comidas favoritas de una forma deliciosa y refrescante.
","25.96",,"unknown","15","unknown","14 min o prog.",,"unknown","unknown","true",
"Rappi","2026-05-12T19:00:32.478Z","Centro - CDMX Coyoacán","Av. Miguel Ángel de Quevedo 687, Coyoacán, Ciudad de México, CDMX","unknown","Big Mac","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint restaurant-bus para McDonald's"
"Rappi","2026-05-12T19:00:35.422Z","Centro - CDMX Coyoacán","Av. Miguel Ángel de Quevedo 687, Coyoacán, Ciudad de México, CDMX","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint restaurant-bus para Burger King"
"Rappi","2026-05-12T19:00:36.246Z","Centro - CDMX Coyoacán","Av. Miguel Ángel de Quevedo 687, Coyoacán, Ciudad de México, CDMX","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint dynamic context para 7 Eleven"
"Rappi","2026-05-12T19:04:52.990Z","Centro - Querétaro","Av. Constituyentes 40, Centro, Santiago de Querétaro, Querétaro","McDonald's Puerta La Victoria","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","0","Envío Gratis: Aplican TyC","25 min","3.8","10:00:00","21:00:00","true",
"Rappi","2026-05-12T19:05:17.386Z","Centro - Querétaro","Av. Constituyentes 40, Centro, Santiago de Querétaro, Querétaro","23773 Burger King La Victoria (MB)","Whopper","Que la parrilla te acompañe con nuestra clásica Whopper ahora con salsa Pesto, tocino, queso amarillo y vegetales frescos. Cambia a Papas La Fuerza por $30 y domina tu antojo.","199","229","-13%","0","Envío Gratis: Aplican TyC","20 min","3.7","11:00:00","21:00:00","true",
"Rappi","2026-05-12T19:06:01.931Z","Centro - Querétaro","Av. Constituyentes 40, Centro, Santiago de Querétaro, Querétaro","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint dynamic context para 7 Eleven"
"Rappi","2026-05-12T19:06:55.730Z","Centro - Puebla","Av. Juárez 2925, La Paz, Puebla, Puebla","McDonald's San Pedro F","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","129",,"unknown","0","Envío Gratis: Aplican TyC","15 min","4.2","12:00:00","22:45:00","true",
"Rappi","2026-05-12T19:07:20.715Z","Centro - Puebla","Av. Juárez 2925, La Paz, Puebla, Puebla","Burger King Galerías Serdán (EK)","Whopper","Que la parrilla te acompañe con nuestra clásica Whopper ahora con salsa Pesto, tocino, queso amarillo y vegetales frescos. Cambia a Papas La Fuerza por $30 y domina tu antojo.","199","229","-13%","0","Envío Gratis: Aplican TyC","30 min","4.1","11:00:00","20:45:00","true",
"Rappi","2026-05-12T19:07:49.033Z","Centro - Puebla","Av. Juárez 2925, La Paz, Puebla, Puebla","7 Eleven","Coca-Cola 600 ml","Ideal para compartir con tu familia o amigos. Siente el sabor original e inconfundible de Coca-Cola, para acompañar tus comidas favoritas de una forma deliciosa y refrescante.
","27.73",,"unknown","15","unknown","14 min o prog.",,"unknown","unknown","true",
"Rappi","2026-05-12T19:08:44.114Z","Este - Veracruz","Blvd. Manuel Ávila Camacho 1371, Ricardo Flores Magón, Veracruz, Veracruz","McDonald's - Villa del Mar ","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","114",,"unknown","0","Envío Gratis: Aplican TyC","12 min","4.4","12:00:00","22:00:00","true",
